env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,piqa,01H9P942M6MFS8K3SQCSVV0Y4A,,9.31,0.7176278563656148,0.7329402565956116,0.7175254270112192,0.7176278563656149,11.7305,1838,156.686,19.607,,01H9P942M86XBAXJK54FV074TX,piqa-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,piqa,01H9P942M6MFS8K3SQCSVV0Y4A,,,,,,,,,,,2023-09-06 23:45:14.114833 +0000 UTC,01H9P942M86XBAXJK54FV074TX,piqa-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,piqa,01H9P945JCBHPF89J0HRD1S1CR,,,,,,,,,,,2023-09-07 04:34:36.603751 +0000 UTC,01H9P945JE46YECWWNE66JMY2N,piqa-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,piqa,01H9P945JCBHPF89J0HRD1S1CR,,9.31,0.6496191512513602,0.6290627717971802,0.6493800245265022,0.6496191512513602,18.0968,1838,101.565,12.709,,01H9P945JE46YECWWNE66JMY2N,piqa-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,piqa,01H9P945JCBHPF89J0HRD1S1CR,,,,,,,,,,,2023-09-06 23:45:15.617307 +0000 UTC,01H9P945JE46YECWWNE66JMY2N,piqa-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,piqa,01H9P948HEEWN24RXPM03ZTE4M,,9.31,0.6539717083786725,0.6335659623146057,0.6518939393939394,0.6539717083786725,15.4839,1838,118.704,14.854,,01H9P948HGDGTGFJF656VQ0N32,piqa-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,piqa,01H9P94BMEBD3V91WWZYN6NT81,,,,,,,,,,,2023-09-07 03:59:35.054113 +0000 UTC,01H9P94BMG0A5QZ55ZQ28853EG,piqa-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,piqa,01H9P94BMEBD3V91WWZYN6NT81,,,,,,,,,,,2023-09-06 23:43:35.415878 +0000 UTC,01H9P94BMG0A5QZ55ZQ28853EG,piqa-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,piqa,01H9P94BMEBD3V91WWZYN6NT81,,9.31,0.6605005440696409,0.6161532402038574,0.6603058725684978,0.6605005440696409,20.2583,1838,90.728,11.353,,01H9P94BMG0A5QZ55ZQ28853EG,piqa-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,piqa,01H9P94EDNSWJHGP21BVRJCMM4,,,,,,,,,,,2023-09-06 23:45:58.72193 +0000 UTC,01H9P94EDQTQNR9RX1DFGKXSN6,piqa-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
