env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,metrics_predict_accuracy,metrics_predict_loss,metrics_predict_macro-f1,metrics_predict_micro-f1,metrics_predict_runtime,metrics_predict_samples,metrics_predict_samples_per_second,metrics_predict_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-4,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,case-hold,01H71EP14ST3KXA3RGCC7QVEJB,,3.36,0.20615384615384616,1.6103967428207397,0.06836734693877551,0.20615384615384613,24.9244,3900,156.473,19.579,0.2013888888888889,1.6106812953948975,0.06705202312138728,0.2013888888888889,22.9998,3600,156.523,19.565,,01H71EP14VN3D15B6X7BWRPC6M,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,5e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,case-hold,01H71EP42DNACRBZNETCRVP44Z,,3.36,0.20717948717948717,1.609890341758728,0.07306948850827674,0.2071794871794872,25.3228,3900,154.011,19.271,0.20027777777777778,1.6100029945373535,0.06899143328896756,0.20027777777777778,23.4529,3600,153.499,19.187,,01H71EP42GAXF1YAF6XE9VX0BM,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_5e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,case-hold,01H71EP6XKCAGMYKK9XA2G9QAM,,3.36,0.8315384615384616,0.5310199856758118,0.8316279998524209,0.8315384615384616,24.3199,3900,160.363,20.066,0.8125,0.556372344493866,0.8125258212661809,0.8125,22.5909,3600,159.357,19.92,,01H71EP6XNT0XRKVFJHZGQF8QG,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,5e-6,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,case-hold,01H71EP9XHTFK119PR4HQK04V6,,3.36,0.7558974358974359,0.7091482877731323,0.7559184526003289,0.7558974358974359,23.5643,3900,165.505,20.709,0.74,0.7390540242195129,0.7398210198646407,0.74,21.7791,3600,165.296,20.662,,01H71EP9XJHRB4JGWBDH7FTY90,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_5e-6-seed_1
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-6,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,case-hold,01H71EPCTQ48GSXV5WT1GNEK7D,,3.36,0.21307692307692308,1.6094523668289185,0.15730448891401388,0.21307692307692308,24.1477,3900,161.506,20.209,0.2061111111111111,1.6093991994857788,0.1508980931853749,0.20611111111111108,22.2796,3600,161.583,20.198,,01H71EPCTSK2052QNKW0H8MFMH,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-6-seed_1
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-4,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,case-hold,01H71EPFS5776Y4ZGWKCXN5796,,3.36,0.20615384615384616,1.610396385192871,0.06836734693877551,0.20615384615384613,23.99,3900,162.568,20.342,0.2013888888888889,1.6106809377670288,0.06705202312138728,0.2013888888888889,22.3203,3600,161.288,20.161,,01H71EPFS7J3ARFTZH511T10Q6,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,5e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,case-hold,01H71EPJSC4BD85K8HJB4D6SM4,,3.36,0.20717948717948717,1.609890341758728,0.07306948850827674,0.2071794871794872,25.0939,3900,155.416,19.447,0.20027777777777778,1.610003113746643,0.06899143328896756,0.20027777777777778,23.3603,3600,154.108,19.263,,01H71EPJSEYVADSYGASE44E0SW,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_5e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,case-hold,01H71EPNTJNZN3JEMTKHQYXHRZ,,3.36,0.8335897435897436,0.5305914282798767,0.8334192783842024,0.8335897435897436,31.5312,3900,123.687,15.477,0.815,0.561907947063446,0.8148962509159767,0.815,29.2786,3600,122.957,15.37,,01H71EPNTMXF8VA9D30VXNSWGF,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,5e-6,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,case-hold,01H71EPRQCSK4EXBPE2Y98AKJE,,3.36,0.7558974358974359,0.7091803550720215,0.7559184526003289,0.7558974358974359,24.9369,3900,156.395,19.569,0.7402777777777778,0.7390680313110352,0.7400888374669057,0.7402777777777778,23.2014,3600,155.163,19.395,,01H71EPRQF8KY31MEWREV98G5R,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_5e-6-seed_2
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-6,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,case-hold,01H71EPVMQMGHH0771BSY40QEM,,3.36,0.21307692307692308,1.6094523668289185,0.15730448891401388,0.21307692307692308,26.0914,3900,149.475,18.703,0.2061111111111111,1.6093991994857788,0.1508980931853749,0.20611111111111108,24.1761,3600,148.908,18.613,,01H71EPVMSERXM37RD7EEVN1Y2,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-6-seed_2
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-4,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,case-hold,01H71EPYMRGPNB3JDWB27SRWCK,,3.36,0.20615384615384616,1.6103966236114502,0.06836734693877551,0.20615384615384613,24.9987,3900,156.008,19.521,0.2013888888888889,1.610681176185608,0.06705202312138728,0.2013888888888889,23.1903,3600,155.238,19.405,,01H71EPYMTNWBT8XG7VMA1VRBE,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,5e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,case-hold,01H71EQ1G17GT7DCT8WVR5DPD0,,3.36,0.20717948717948717,1.609890341758728,0.07306948850827674,0.2071794871794872,26.0846,3900,149.513,18.708,0.20027777777777778,1.6100029945373535,0.06899143328896756,0.20027777777777778,23.8451,3600,150.975,18.872,,01H71EQ1G3XAFG7NT7N7Z08ZGV,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_5e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,9e18c660c1e9f612e96d890789f8cc82966d0fe3,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,case-hold,01H71EQ4GCRQYTB3M3MAM5WNY5,,3.36,0.8223076923076923,0.5322995185852051,0.8222378224383767,0.8223076923076923,30.2403,3900,128.967,16.137,0.8158333333333333,0.5570201873779297,0.8158280907165034,0.8158333333333333,28.0021,3600,128.562,16.07,,01H71EQ4GEVSAJYQ0TX56Z6GF4,case-hold-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
