env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,yelp,01H9P90R365H5K5XNX3QS8AWTJ,,0.28,0.9739,0.11084915697574615,0.973771848991893,0.9739,79.9957,10000,125.007,15.626,,01H9P90R39ACW4602GTXTVA2BS,yelp-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,yelp,01H9P90R365H5K5XNX3QS8AWTJ,,,,,,,,,,,2023-09-06 23:17:23.904329 +0000 UTC,01H9P90R39ACW4602GTXTVA2BS,yelp-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,yelp,01H9P90V0KR8NTGWBFACJR9N5S,,0.28,0.9675,0.1432647556066513,0.9673385843443021,0.9675,84.7359,10000,118.014,14.752,,01H9P90V0N8KD0EZJ6D7E9PPWR,yelp-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,yelp,01H9P90V0KR8NTGWBFACJR9N5S,,,,,,,,,,,2023-09-06 23:17:55.996692 +0000 UTC,01H9P90V0N8KD0EZJ6D7E9PPWR,yelp-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,yelp,01H9P90XZ1FSH6ZR28JAYZ79FT,,0.28,0.9682,0.13534893095493317,0.9680487607259707,0.9682,87.73,10000,113.986,14.248,,01H9P90XZ4BP1H6AYTYNEG1WCX,yelp-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,yelp,01H9P90XZ1FSH6ZR28JAYZ79FT,,,,,,,,,,,2023-09-06 23:18:29.948741 +0000 UTC,01H9P90XZ4BP1H6AYTYNEG1WCX,yelp-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,yelp,01H9P910YD7HZDGFZSEDRE9ZSB,,0.28,0.9685,0.12715443968772888,0.9683609244319162,0.9685,87.7975,10000,113.898,14.237,,01H9P910YG4P8VM6YKZAJ97Q7C,yelp-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,yelp,01H9P910YD7HZDGFZSEDRE9ZSB,,,,,,,,,,,2023-09-06 23:18:36.208244 +0000 UTC,01H9P910YG4P8VM6YKZAJ97Q7C,yelp-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,yelp,01H9P913WF5QN3M4X82AZ4Z06C,,0.28,0.9675,0.10936364531517029,0.9673413412967403,0.9675,72.7133,10000,137.527,17.191,,01H9P913WHC89CA900JQV2S3EZ,yelp-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,yelp,01H9P913WF5QN3M4X82AZ4Z06C,,,,,,,,,,,2023-09-06 23:19:02.625347 +0000 UTC,01H9P913WHC89CA900JQV2S3EZ,yelp-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,1,yelp,01H9P916WFY799MBBDZ4M0MM0S,,0.28,0.9684,0.10174105316400528,0.9682470664409235,0.9684,71.6184,10000,139.629,17.454,,01H9P916WH6D8N0DTNS3HMD7TA,yelp-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,1,yelp,01H9P916WFY799MBBDZ4M0MM0S,,,,,,,,,,,2023-09-06 23:19:20.453217 +0000 UTC,01H9P916WH6D8N0DTNS3HMD7TA,yelp-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,1,yelp,01H9P919RZQ7JD0CBTMM9Z1Z0D,,0.28,0.9691,0.09815774857997894,0.9689652218551247,0.9691,86.0298,10000,116.239,14.53,,01H9P919S1AS98X89S7T2PCV0J,yelp-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,1,yelp,01H9P919RZQ7JD0CBTMM9Z1Z0D,,,,,,,,,,,2023-09-06 23:19:34.046724 +0000 UTC,01H9P919S1AS98X89S7T2PCV0J,yelp-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,yelp,01H9P91D4RJ0CPEY8V07E3J0WB,,,,,,,,,,,2023-09-06 23:19:51.814012 +0000 UTC,01H9P91D4TESNY0YG1XYF4PB2D,yelp-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,yelp,01H9P91D4RJ0CPEY8V07E3J0WB,,0.28,0.9692,0.0876757875084877,0.9690611153467917,0.9692,127.2834,10000,78.565,9.821,,01H9P91D4TESNY0YG1XYF4PB2D,yelp-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,yelp,01H9P91FWRBERGVQ0N2VWGT3GG,,0.28,0.9689,0.08711228519678116,0.9687576520521627,0.9689,94.3766,10000,105.959,13.245,,01H9P91FWTC6X0FYTQ3N1EQXHE,yelp-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,yelp,01H9P91FWRBERGVQ0N2VWGT3GG,,,,,,,,,,,2023-09-06 23:19:54.955641 +0000 UTC,01H9P91FWTC6X0FYTQ3N1EQXHE,yelp-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,yelp,01H9P91JRMP876G5QE1N351JHA,,,,,,,,,,,2023-09-06 23:22:05.06303 +0000 UTC,01H9P91JRPD9BPFBV9TW2YD5QZ,yelp-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,yelp,01H9P91JRMP876G5QE1N351JHA,,0.28,0.9687,0.08767612278461456,0.9685601274654798,0.9687,101.8524,10000,98.181,12.273,,01H9P91JRPD9BPFBV9TW2YD5QZ,yelp-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,1,yelp,01H9P91NRHPWGZHY6HCXTBJ6G6,,0.28,0.9752,0.06845054030418396,0.9750757686582695,0.9752,112.708,10000,88.725,11.091,,01H9P91NRK65RQ39F4DBFJJPZQ,yelp-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_1
